District_code,State_name,District_name,Population,Literate,Below_Primary_Education,Primary_Education,Middle_Education,Secondary_Education,Higher_Education,Graduate_Education,Other_Education,Literate_Education,Illiterate_Education,Total_Education
184,UTTAR PRADESH,Siddharthnagar,2559297,1228926,676987,335977,204260,110056,73465,56516,10526,1467787,1217027,2684814
185,UTTAR PRADESH,Basti,2464464,1393783,470355,349221,324085,211477,162961,143642,13030,1674771,1021192,2695963
186,UTTAR PRADESH,Sant Kabir Nagar,1715183,954949,341757,290532,205875,129442,86528,63506,8882,1126522,683053,1809575
187,UTTAR PRADESH,Mahrajganj,2684703,1419144,456350,388464,308064,185236,129222,95863,11219,1574418,1252595,2827013
188,UTTAR PRADESH,Gorakhpur,4440895,2700328,873031,618398,560246,425913,316166,273903,36253,3103910,1453960,4557870
189,UTTAR PRADESH,Kushinagar,3564544,1954820,836856,424892,367405,249265,170911,119625,11970,2180924,1550315,3731239
190,UTTAR PRADESH,Deoria,3100946,1875239,602403,473097,449571,372031,277548,194341,23334,2392325,1130108,3522433
191,UTTAR PRADESH,Azamgarh,4613913,2771917,831966,1344726,879745,489060,312571,158303,8087,4024458,1218146,5242604
192,UTTAR PRADESH,Mau,2205968,1363044,344570,410737,320743,256784,209493,150462,15771,1708560,659237,2367797
193,UTTAR PRADESH,Ballia,3239774,1963590,436021,515010,443440,409484,323582,200434,20283,2348254,1032533,3380787
194,UTTAR PRADESH,Jaunpur,4494204,2731677,665376,939616,769693,520111,353996,256398,25909,3531099,1344789,4875888
195,UTTAR PRADESH,Ghazipur,3620268,2197549,566504,691057,563310,449909,334003,186306,12795,2803884,1008996,3812880
196,UTTAR PRADESH,Chandauli,1952756,1174606,295979,367768,276638,196240,135962,88299,7586,1368472,543247,1911719
197,UTTAR PRADESH,Varanasi,3676841,2403903,467782,608174,557052,447926,351391,281652,34841,2748818,906367,3655185
199,UTTAR PRADESH,Mirzapur,2496970,1428683,361642,421577,340261,232189,177109,140668,17680,1691126,868542,2559668
200,UTTAR PRADESH,Sonbhadra,1862559,985708,306218,297226,212565,120822,82614,63846,9357,1092648,745126,1837774
201,UTTAR PRADESH,Etah,1774480,1055202,238019,214091,201984,178434,119665,88607,8092,1048892,718310,1767202
202,UTTAR PRADESH,Kanshiram Nagar,1436719,724850,256688,193410,150247,108558,61662,48079,4981,823625,648166,1471791
203,BIHAR,Pashchim Champaran,3935042,1759481,1053481,543965,250243,159563,98732,70669,6035,2182688,1710878,3893566
204,BIHAR,Purba Champaran,5099371,2276957,1280809,982506,450631,241118,121594,68781,5149,3150588,2142757,5293345
205,BIHAR,Sheohar,656246,283698,128209,91277,37063,25657,16031,10091,661,308989,348078,657067
206,BIHAR,Sitamarhi,3423574,1436794,733380,394422,196321,136500,92783,70549,11936,1635891,1852765,3488656
207,BIHAR,Madhubani,4487379,2155338,783888,771417,520875,303114,170563,137780,11352,2698989,2003079,4702068
208,BIHAR,Supaul,2229076,1033283,467768,269737,157787,99530,69665,45726,5850,1116063,1220268,2336331
209,BIHAR,Araria,2811569,1195768,625357,426625,206161,112955,68177,39627,6938,1485840,1653766,3139606
210,BIHAR,Kishanganj,1690400,745056,356401,235779,89025,42778,25989,15386,3761,769119,945397,1714516
211,BIHAR,Purnia,3264619,1332326,668690,360243,184327,119259,83226,59996,11116,1486857,1798786,3285643
212,BIHAR,Katihar,3071029,1280190,472616,444260,237243,133811,88498,57114,11896,1445438,1705551,3150989
213,BIHAR,Madhepura,2001762,834577,340813,189431,114474,99437,79891,44955,6509,875510,1202278,2077788
214,BIHAR,Saharsa,1900661,804996,348300,194897,104182,90182,64560,47051,6016,855188,1151349,2006537
215,BIHAR,Darbhanga,3937385,1816634,672797,490534,332382,224622,152540,129597,26073,2028545,2203198,4231743
216,BIHAR,Muzaffarpur,4801062,2509232,1092952,743623,419433,299475,194920,138916,14475,2903794,1924438,4828232
217,BIHAR,Gopalganj,2562012,1382998,540603,470828,291624,223776,123249,79109,7690,1736879,977719,2714598
218,BIHAR,Siwan,3330464,1930175,689880,612635,445257,355277,186817,119164,12091,2421121,1207119,3628240
219,BIHAR,Saran,3951862,2157454,793945,693465,433759,361171,213251,148065,9848,2653504,1313700,3967204
220,BIHAR,Vaishali,3495021,1926740,810191,487594,370247,291392,178320,124448,9094,2271286,1479152,3750438
221,BIHAR,Samastipur,4261566,2142880,781038,710468,438908,284082,186153,129933,19126,2549708,1996651,4546359
222,BIHAR,Begusarai,2970541,1548673,577601,484502,291877,207136,144783,101836,14599,1822334,1242551,3064885
223,BIHAR,Khagaria,1666886,768028,350601,233494,130004,100555,65931,38697,5969,925251,903323,1828574
224,BIHAR,Bhagalpur,3037766,1573066,614644,524322,300767,247079,154643,118843,16119,1976417,1139715,3116132
225,BIHAR,Banka,2034763,965321,408188,386707,196305,120653,63103,35767,3922,1214645,879831,2094476
226,BIHAR,Munger,1367765,801817,226699,158699,146414,147152,101907,64469,4394,849734,498676,1348410
227,BIHAR,Lakhisarai,1000912,507270,172076,149312,111684,85807,48001,27261,3814,597955,450967,1048922
228,BIHAR,Sheikhpura,636342,328676,129673,110525,59529,52860,33856,19676,3399,409518,305609,715127
229,BIHAR,Nalanda,2877653,1519933,581978,486266,320839,274556,177358,133032,11159,1985188,1324385,3309573
230,BIHAR,Patna,5838465,3459679,1244842,1095655,920051,698351,463361,452340,46126,4920726,2590473,7511199
231,BIHAR,Bhojpur,2728407,1599151,581580,605307,367059,313509,163303,131137,10630,2172525,1005140,3177665
